UF,Municipio,Regiao,PIB,Ano
CE,Tabuleiro do Norte,Nordeste,,2021
PE,Buíque,Nordeste,,2021
PR,Grandes Rios,Sul,137.731,2020
SC,Major Gercino,Sul,53.895,2020
MG,Lagoa Dourada,Sudeste,268.098,2020
MA,São Domingos do Maranhão,Nordeste,325.941,2020
PR,Sapopema,Sul,135.487,2020
PB,Cacimbas,Nordeste,61.621,2020
BA,Tucano,Nordeste,506.229,2020
SP,Icém,Sudeste,183.279,2020
MG,Piedade de Ponte Nova,Sudeste,,2021
MG,Olímpio Noronha,Sudeste,,2021
MG,Capim Branco,Sudeste,97.315,2020
MG,Campo Azul,Sudeste,38.722,2020
MG,Crisólita,Sudeste,69.259,2020
TO,Buriti do Tocantins,Norte,,2021
TO,Nazaré,Norte,54.968,2020
MG,Patrocínio do Muriaé,Sudeste,117.352,2020
MG,Serrania,Sudeste,143.795,2020
MG,Braúnas,Sudeste,,2021
PR,Tuneiras do Oeste,Sul,255.009,2020
PA,São Miguel do Guamá,Norte,722.327,2020
MS,Paraiso das Aguas,Centro-Oeste,,2019
GO,Itapuranga,Centro-Oeste,499.688,2020
PR,Reserva do Iguaçu,Sul,,2021
SP,Mirassolândia,Sudeste,162.533,2020
TO,Nova Rosalândia,Norte,87.844,2020
MG,Coronel Xavier Chaves,Sudeste,60.761,2020
PE,Solidão,Nordeste,48.858,2020
SP,Alto Alegre,Sudeste,,2021
SE,Santo Amaro das Brotas,Nordeste,138.553,2020
MA,Vitorino Freire,Nordeste,266.177,2020
TO,Santa Rita do Tocantins,Norte,,2021
GO,Novo Brasil,Centro-Oeste,,2021
PI,Hugo Napoleão,Nordeste,,2021
MS,Caracol,Centro-Oeste,145.811,2020
PR,Iracema do Oeste,Sul,90.392,2020
SP,Tuiuti,Sudeste,,2021
BA,Coribe,Nordeste,,2021
BA,Aiquara,Nordeste,46.861,2020
RS,Cerro Grande,Sul,55.459,2020
TO,Fátima,Norte,79.626,2020
RN,Pau dos Ferros,Nordeste,626.150,2020
PB,Brejo do Cruz,Nordeste,,2021
RS,Rondinha,Sul,,2021
RS,São Martinho da Serra,Sul,,2021
RS,Eugênio de Castro,Sul,,2021
PI,Alagoinha do Piauí,Nordeste,67.241,2020
SE,Carira,Nordeste,,2021
RS,Mata,Sul,113.421,2020
RN,Angicos,Nordeste,180.097,2020
PB,Serra da Raiz,Nordeste,,2021
PR,São Sebastião da Amoreira,Sul,243.619,2020
MG,Peçanha,Sudeste,223.648,2020
MG,Santa Cruz de Salinas,Sudeste,44.407,2020
RN,Serra Negra do Norte,Nordeste,,2021
AL,Porto de Pedras,Nordeste,231.351,2020
